Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,male,34.5,0,0,7.8292,Q,No
3,female,47.0,1,0,7.0,S,No
2,male,62.0,0,0,9.6875,Q,No
3,male,27.0,0,0,8.662500000000001,S,Yes
3,female,22.0,1,1,12.287500000000001,S,No
3,male,14.0,0,0,9.225000000000001,S,No
3,female,30.0,0,0,7.629200000000001,Q,No
2,male,26.0,1,1,29.0,S,No
3,female,18.0,0,0,7.229199999999999,C,Yes
3,male,21.0,2,0,24.15,S,No
3,male,28.0,0,0,7.895800000000001,S,No
1,male,46.0,0,0,26.0,S,No
1,female,23.0,1,0,82.26670000000001,S,Yes
2,male,63.0,1,0,26.0,S,No
1,female,47.0,1,0,61.175,S,Yes
2,female,24.0,1,0,27.7208,C,Yes
2,male,35.0,0,0,12.350000000000001,Q,No
3,male,21.0,0,0,7.225000000000005,C,Yes
3,female,27.0,1,0,7.925000000000001,S,No
3,female,45.0,0,0,7.225000000000005,C,Yes
1,male,55.0,1,0,59.39999999999999,C,Yes
3,male,9.0,0,1,3.1707999999999963,S,No
1,female,28.0,0,0,31.6833,S,Yes
1,male,21.0,0,1,61.3792,C,No
1,female,48.0,1,3,262.375,C,Yes
3,male,50.0,1,0,14.5,S,No
1,female,22.0,0,1,61.9792,C,Yes
3,male,22.5,0,0,7.225000000000005,C,Yes
1,male,41.0,0,0,30.5,S,Yes
3,male,28.0,2,0,21.6792,C,No
2,male,50.0,1,0,26.0,S,No
2,male,24.0,2,0,31.5,S,No
3,female,33.0,1,2,20.575,S,Yes
3,female,28.0,1,2,23.45,S,No
1,male,30.0,1,0,57.75,C,No
3,male,18.5,0,0,7.229199999999999,C,Yes
3,female,28.0,0,0,8.05,S,No
3,female,21.0,0,0,8.662500000000001,S,No
3,male,25.0,0,0,9.5,S,No
3,male,28.0,0,0,56.4958,S,No
3,male,39.0,0,1,13.416699999999999,C,No
1,male,28.0,0,0,26.55,S,No
3,male,41.0,0,0,7.850000000000001,S,No
2,female,30.0,0,0,13.0,S,Yes
1,female,45.0,1,0,52.5542,S,Yes
3,male,25.0,0,0,7.925000000000001,S,No
1,male,45.0,0,0,29.7,C,No
3,male,28.0,0,0,7.75,Q,No
1,female,60.0,0,0,76.2917,C,Yes
3,female,36.0,0,2,15.899999999999999,S,Yes
1,male,24.0,1,0,60.0,S,No
2,male,27.0,0,0,15.0333,C,No
2,female,20.0,2,1,23.0,S,Yes
1,female,28.0,3,2,263.00000000000006,S,Yes
2,male,28.0,0,0,15.5792,C,No
3,male,10.0,4,1,29.125,Q,No
3,male,35.0,0,0,7.895800000000001,S,No
3,male,25.0,0,0,7.649999999999999,S,No
3,male,28.0,1,0,16.1,S,No
1,female,36.0,0,0,262.375,C,Yes
3,male,17.0,0,0,7.895800000000001,S,No
2,male,32.0,0,0,13.5,S,No
3,male,18.0,0,0,7.75,S,No
3,female,22.0,0,0,7.725000000000001,Q,Yes
1,male,13.0,2,2,262.375,C,No
2,female,28.0,0,0,21.0,S,Yes
3,female,18.0,0,0,7.879200000000001,Q,No
1,male,47.0,0,0,42.4,S,No
1,male,31.0,0,0,28.5375,C,No
1,female,60.0,1,4,263.00000000000006,S,Yes
3,female,24.0,0,0,7.75,Q,Yes
3,male,21.0,0,0,7.895800000000001,S,No
3,female,29.0,0,0,7.925000000000001,S,No
1,male,28.5,0,0,27.7208,C,No
1,female,35.0,0,0,211.5,C,Yes
1,male,32.5,0,0,211.5,C,No
3,male,28.0,0,0,8.05,S,No
1,female,55.0,2,0,25.7,S,Yes
2,male,30.0,0,0,13.0,S,No
3,female,24.0,0,0,7.75,Q,Yes
3,male,6.0,1,1,15.2458,C,Yes
1,male,67.0,1,0,221.7792,S,No
1,male,49.0,0,0,26.0,S,No
3,male,28.0,0,0,7.895800000000001,S,No
2,male,28.0,0,0,10.708300000000001,Q,No
3,male,28.0,1,0,14.4542,C,No
3,female,27.0,0,0,7.879200000000001,Q,Yes
3,female,18.0,0,0,8.05,S,No
3,female,28.0,0,0,7.75,Q,Yes
2,male,2.0,1,1,23.0,S,Yes
3,female,22.0,1,0,13.899999999999999,S,No
3,male,28.0,0,0,7.774999999999999,S,No
1,female,27.0,1,2,52.0,S,Yes
3,male,28.0,0,0,8.05,S,No
1,male,25.0,0,0,26.0,C,No
3,male,25.0,0,0,7.7958,S,No
1,female,76.0,1,0,78.85,S,Yes
3,male,29.0,0,0,7.925000000000001,S,No
3,female,20.0,0,0,7.854199999999999,S,No
3,male,33.0,0,0,8.05,S,No
1,female,43.0,1,0,55.4417,C,Yes
2,male,27.0,1,0,26.0,S,No
3,male,28.0,0,0,7.75,Q,No
3,male,26.0,0,0,7.774999999999999,S,No
3,female,16.0,1,1,8.5167,C,Yes
3,male,28.0,0,0,22.525,S,No
3,male,21.0,0,0,7.820799999999998,Q,No
3,male,28.0,0,0,7.75,Q,No
3,male,28.0,0,0,8.712499999999999,S,No
2,male,18.5,0,0,13.0,S,No
2,male,41.0,0,0,15.0458,C,No
3,female,28.0,0,0,7.7791999999999994,Q,Yes
1,female,36.0,0,0,31.6792,C,Yes
3,female,18.5,0,0,7.2833000000000006,Q,No
1,female,63.0,1,0,221.7792,S,Yes
3,male,18.0,1,0,14.4542,C,No
